Project,Address,Address (Obscured),Address_Clean,Watershed,Building Use,"Solar over Ecoroof",Type,Year Built,Size (sf),Number,Latitude(Non Obscured),Longitude (Non Obscured),Confidence (Non Obscured),Latitude,Longitude,Confidence,Depth Min,Depth Max,Depth Notes,Composition,Irrigation,Irrigation Notes,Drainage,Plants,Maintenance,Contractor,Notes
1200 Building,1200 SW 12th Ave,1200 SW 12th Ave,1200 SW 12TH AVE,Willamette,commercial,,Reroof,2010,7500,1,45.51729418,-122.6858215,High,45.51729,-122.686,High,3.5,3.5,,Pro-Gro Light,Yes ,Disposable,,,,,
Ankeny Lofts,2501-2507 SE Ankeny St,2501-2507 SE Ankeny St,2501-2507 SE ANKENY ST,Willamette,commercial,,New,2011,1224,2,45.5226593,-122.6217499,Medium,45.52216,-122.639,High,4,4,,Pro-Gro Extensive,Yes,Hand,,,,,
residence,2835 SW Miles St,SW 29th Ave and SW Miles St,2835 SW MILES ST,Fanno/Tryon,residential,,New,2013,1560,1,45.4708252,-122.7063675,High,45.47068,-122.707,High,5,5,,Unknown,No,,,,,,
Bud Clark Commons,650 NW Irving St,650 NW Irving St,650 NW IRVING ST,Willamette,commercial,,New,2011,3400,1,45.52790833,-122.6853409,Medium,45.52791,-122.685,Medium,,,,Pro-Gro Extensive,Yes,,,,,,
residence,521 SE 18th Ave,SE 18th Ave and SE Stark St,521 SE 18TH AVE,Willamette,residential,,Reroof,2011,160,1,45.51891708,-122.6478577,High,45.51932,-122.648,High,,,,Unknown,No,,,,,,
residence,3808 SW Dosch Rd,SW Dosch Rd and SW Dosch Ct,3808 SW DOSCH RD,Fanno/Tryon,residential,,New,2010,400,1,45.49592972,-122.7112808,High,45.49628,-122.712,High,4,4,,Unknown,Yes,Disposable,,,,,
residence,5035 N Depauw St,N Depauw St and N Hodge Ave,5035 N DEPAUW ST,Columbia Slough,residential,,New,2010,120,1,45.57932281,-122.7222443,High,45.57934,-122.723,High,4,4,,Unknown,,,,,,,
residence,1542 N Simpson Ave,N Simpson St and N Interstate Ave,1542 N SIMPSON AVE,Columbia Slough,residential,,New,2012,1820,2,45.56523514,-122.6832047,High,45.56549,-122.682,High,3.5,3.5,,Pro-Gro Extensive,No,,,,,,
Cully Grove,4745 NE Going St,4745 NE Going St,4745 NE GOING ST,Columbia Slough,commercial,,New,2013,2035,2,45.55755615,-122.6136856,High,45.55696,-122.613,High,3,6,,Pro-Gro Extensive,Yes,,,,,,
residence,2730 NE Schuyler St,NE 28th Ave and NE Schuyler St,2730 NE SCHUYLER ST,Willamette,residential,,Reroof,2009,220,1,45.53553391,-122.6374817,High,45.53571,-122.637,High,4,8,,Unknown,Yes,Hand,,,,,
residence,2846 SE Ankeny St,SE 28th Ave and SE Ankeny St,2846 SE ANKENY ST,Willamette,residential,,New,2012,300,1,45.52190781,-122.6362839,High,45.52214,-122.637,High,4,4,,Phillips Soil Products Intensive B-4 Mix,Yes,Hand,,,,,
East Multnomah Soil and Water Conservation District,5211 N Williams Ave,5211 N Williams Ave,5211 N WILLIAMS AVE,Columbia Slough,commercial,,Reroof,2010,700,1,45.56085968,-122.6673737,High,45.56086,-122.667,High,4,4,,Pro-Gro Extensive,Yes,,,,,,
residence,721 NE Hazelfern Pl,NE Hazelfern Pl and NE Peerless Pl,721 NE HAZELFERN PL,Willamette,residential,,Reroof,2012,220,1,45.52867508,-122.6273346,High,45.52826,-122.627,High,,,,Pro-Gro Extensive,,,,,,,
residence,1411 SE 55th Ave,SE 55th Ave and SE Hawthorne Blvd,1411 SE 55TH AVE,Willamette,residential,,Reroof,2013,730,1,45.51264572,-122.607132,High,45.51200,-122.607,High,,,,Unknown,Yes,Hand,,,,,
400 Building,400 SW 6th Ave,400 SW 6th Ave,400 SW 6TH AVE,Willamette,commercial,,Reroof,2013,2000,1,45.52065659,-122.6773682,High,45.52066,-122.677,High,1,1,,Tray System,No,,,,,,
Cascade Building,520 SW 6th Ave,520 SW 6th Ave,520 SW 6TH AVE,Willamette,commercial,,Reroof,2013,700,1,45.52015677,-122.6779023,High,45.52016,-122.678,High,1,1,,Tray System,No,,,,,,
residence,2611 SW Sunset Blvd,SW 27th Ave and SW Sunset Blvd,2611 SW SUNSET BLVD,Fanno/Tryon,residential,,New,2013,736,1,45.48904037,-122.7041702,High,45.48870,-122.705,High,,,,Unknown,,,,,,,
UP Fields and Schoenfeldt Hall,5620 N Warren St,5620 N Warren St,5620 N WARREN ST,Willamette,institutional,,New,2009,1800,2,45.57577896,-122.731842,High,45.57578,-122.732,High,12,14,,Pro-Gro Intensive Rooftop Soil,Yes ,Drip,Drainage layer (Tremco Tremdrain GR) with overflow roof drain,,UP grounds crew will do ongoing monitoring & maintaing weeds,,
residence,2021 SE 44th Ave,SE 44th Ave and SE Harrison St,2021 SE 44TH AVE,Willamette,residential,,New,2011,780,1,45.50837326,-122.6174393,High,45.50876,-122.617,High,,,,Pro-Gro Semi-intensive Soil,Yes,Micro-sprayer,Drains at 4 corners of roof,"Native mix including licorice fern, yarrow, tufted hairgrass, native sedums and mosses",As needed,Ecoroofs Everywhere,
Gray's Landing,650 SW Lowell St,650 SW Lowell St,650 SW LOWELL ST,Willamette,commercial,Yes,New,2012,30000,1,45.49356461,-122.6714706,High,45.49356,-122.671,High,4,4,,"3.5"" lightweight medium topped with 0.5"" cinder mulch",Yes ,low-flow rotary nozzles,Drainage composite board,"Sedums, succulents, and grasses",REACH CDC owns the roof; will contract green roof company for maintenance,Owner-built,
residence,2634 SE Kelly St,SE 26th Ave and SE Kelly St,2634 SE KELLY ST,Willamette,residential,,Reroof,2013,500,1,45.49959564,-122.6387634,High,45.49982,-122.640,High,,,,Phillips Extensive C media,Yes,,,Sedum mix (from cuttings),,,
BPA Building,911 NE 11th Ave,911 NE 11th Ave,911 NE 11TH AVE,Willamette,governmental,,Reroof,2011,13200,1,45.5292327,-122.6544806,High,45.52923,-122.654,High,5,5,,Phillips Soil Extensive Growing Mix C,Yes ,Mmicro-rotor spray heads,wound plastic filaments,Sedum mix (from cuttings),,,
Hamilton West,1212 SW Clay St,1212 SW Clay St,1212 SW CLAY ST,Willamette,commercial,,New,1999,5850,1,45.51516724,-122.6875763,High,45.51517,-122.688,High,3,3,,Organic and Coarse Aggregate,,,Yes,,,,
residence,235 NE Ivy St,NE Ivy St and NE Martin Luther King Jr Blvd,235 NE IVY ST,Willamette,residential,,Reroof,2012,1365,1,45.54771042,-122.6627045,High,45.54789,-122.662,High,,,,Swanson Bark Rooflite Extensive MC,,,"6"" wide channels filled with lava rock",,,,
residence,6318 SW 32nd Ave,SW 32nd Ave and SW Carolina St,6318 SW 32ND AVE,Fanno/Tryon,residential,,Reroof,2011,220,1,45.47798538,-122.7091904,High,45.47827,-122.709,High,2.5,2.5,,Phillips Soil Extensive Growing Mix C,No,,wound plastic filaments,Sedum mix ,,,
International Harvester Building,79 SE Taylor St,79 SE Taylor St,79 SE TAYLOR ST,Willamette,commercial,Yes,Reroof,2010,5750,1,45.51532745,-122.6651306,High,45.51533,-122.665,High,2.5,2.5,,Phillips Soil Products,Yes,in-line irrigation system,"1/2"" drainage layer","sedums plus Calamagrostis acutiflora, Lavandula stoechas, Delosperma nubingeum, Polystichum neolobatum, Festuca glauca",weeding 2x per year,Greenworks PC,
residence,3033 NE Schuyler St,NE 30th Ave and NE Schuyler St,3033 NE SCHUYLER ST,Willamette,residential,,New,2010,440,1,45.53598785,-122.6342392,High,45.53577,-122.635,High,,,,,No,,,Sedum mix,,,
residence,2313 N Sumner St,N Summer St and N Gay Ave,2313 N SUMNER ST,Willamette,residential,,Reroof,2012,200,1,45.5607605,-122.6912231,High,45.56053,-122.690,High,3.5,3.5,,"soil mix of pumice, perlite, and 4-way soil blend from Mt. Scott Fuel (mixed by hand on site)",Yes,drip - to be removed after plants establish during 1st year,drainage layer,"sedum mix plus other plants (thyme, delosperma, etc.)",periodic weeding,,
K4 Court,5506 NE 31st Ave,5506 NE 31st Ave,5506 NE 31ST AVE,Columbia Slough,commercial,,New,2009,900,10,45.56287698,-122.6337685,High,45.56271,-122.634,High,4,6,,"12 yards total: composite blend consisting of Canadian peet moss (10%), pumice (47%), pumice kale (33%), compost (10%), ammonium phosphate, ferris sulfate, gypsum, apex, and dolomite lime - 69 lbs / cubic foot.",Yes,permanent drip system under planted surface; operational only during summer months,polypropylene / polystyrene drain mat,"438 plants total: Achillea Moonshine, Achillea Walter Funk, Achillea Rose, Allium Glancum, Sedum Angelina, Sedum Lidenkense, and Campanula Birdne Higorst","The property's HOA will manage maintenance, which is limited to weeding and new plantings 2X per year + managing basic irrigation (turned on/off during peak seasons and checked annually).",,
residence,1226 SE 52nd Ave,SE 52nd Ave and SE Salmon St,1226 SE 52ND AVE,Willamette,residential,,Reroof,2010,290,1,45.51379395,-122.6091156,High,45.51424,-122.609,High,4,6,,,,,,"sedums, herbs, kinnikinnik, rushes, sedges",,Enviroscapes NW,
Killingsworth Station,1455 N Killingsworth St,1455 N Killingsworth St,1455 N KILLINGSWORTH ST,Columbia Slough,commercial,Yes,New,2011,20700,4,45.56270465,-122.681878,High,45.56270,-122.682,High,4,4,,"ProGro Extensive (70% pumice, 30% Organic Materials)",Yes,Temporary,,,monitoring & summer irrigation if needed,SolTerra Systems,
residence,1705 SE Ash St,SE 17th Ave and SE Ash St,,Willamette,residential,,New,2010,488,3,,,,,,,3,6,,commercial mix,Yes,Summer,MiraDrain drainage layer,"Upper Roof: sedum mix; Lower Roof: ferns, grasses, native plants, sedums, strawberries; Entry Roof: native wildflowers, grasses, strawberries",,Ecoroofs Everywhere,
residence,SE 9th and Harney St,SE 9th and Harney St,924 SE HARNEY ST,Willamette,residential,,Reroof,2012,550,1,45.46197128,-122.6563721,High,45.46218,-122.657,High,4,4,,Phillips Extensive Growing Media C,Yes,Overhead,,mixture of sedums and perennial flowering plants,,,
residence,128 NE 74th Ave,NE 74th Ave and NE Everett St,128 NE 74TH AVE,Willamette,residential,,New,2012,192,1,45.52383423,-122.586525,High,45.52464,-122.587,High,5,5,,Phillips extensive ecoroof mix,Yes,Soaker Hose,,"2 sedums, 2 grasses",,,
Ladd Tower,1300 SW Park Ave,1300 SW Park Ave,1300 SW PARK AVE,Willamette,residential,,New,2009,6803,4,45.51546559,-122.6826961,High,45.51547,-122.683,High,4,,,American Hydrotech LiteTop - Extensive and LiteTop - Semi Intensive mix,Yes,Drip line,3-D drainage mat & drainage composite,Sedum mix,"Maintenance will be performed by Teufel Landscaping in accordance with American Hydrotech's maintenance procedures.  Maintenance is fairly minimal and includes regular inspections of the irrigation system, drainage, plants, growing media, weeding, plant replacement, soil testing, fertilization, and a warranty walk through.",Ecoroofs Everywhere,
Metro Regional Services Headquarters,600 NE Grand Ave,600 NE Grand Ave,600 NE GRAND AVE,Willamette,governmental,,Reroof,2005,2500,1,45.5275885,-122.6606108,High,45.52759,-122.661,High,3,3,,"10% Recycled Paper, 20% Compost, 70% Pumice",Yes,,composite drainage fabric layer (CCW MiraDRAIN 9800),Sedum mix,,,
